shift,shift_deg,exact_omega,linear_omega,abs_error
2.26892803,130.00000000,1.81261557,2.26892803,0.45631245
2.28638132,131.00000000,1.81992254,2.28638132,0.46645878
2.30383461,132.00000000,1.82709092,2.30383461,0.47674370
2.32128791,133.00000000,1.83412015,2.32128791,0.48716776
2.33874120,134.00000000,1.84100971,2.33874120,0.49773149
2.35619449,135.00000000,1.84775907,2.35619449,0.50843543
2.37364778,136.00000000,1.85436771,2.37364778,0.51928007
2.39110108,137.00000000,1.86083514,2.39110108,0.53026594
2.40855437,138.00000000,1.86716085,2.40855437,0.54139351
2.42600766,139.00000000,1.87334438,2.42600766,0.55266328
2.44346095,140.00000000,1.87938524,2.44346095,0.56407571
2.46091425,141.00000000,1.88528298,2.46091425,0.57563126
2.47836754,142.00000000,1.89103715,2.47836754,0.58733039
2.49582083,143.00000000,1.89664731,2.49582083,0.59917352
2.51327412,144.00000000,1.90211303,2.51327412,0.61116109
2.53072742,145.00000000,1.90743390,2.53072742,0.62329351
2.54818071,146.00000000,1.91260951,2.54818071,0.63557120
2.56563400,147.00000000,1.91763947,2.56563400,0.64799453
2.58308729,148.00000000,1.92252339,2.58308729,0.66056390
2.60054059,149.00000000,1.92726091,2.60054059,0.67327968
2.61799388,150.00000000,1.93185165,2.61799388,0.68614223
2.63544717,151.00000000,1.93629528,2.63544717,0.69915189
2.65290046,152.00000000,1.94059145,2.65290046,0.71230901
2.67035376,153.00000000,1.94473984,2.67035376,0.72561391
2.68780705,154.00000000,1.94874013,2.68780705,0.73906692
2.70526034,155.00000000,1.95259201,2.70526034,0.75266833
2.72271363,156.00000000,1.95629520,2.72271363,0.76641843
2.74016693,157.00000000,1.95984941,2.74016693,0.78031752
2.75762022,158.00000000,1.96325437,2.75762022,0.79436585
2.77507351,159.00000000,1.96650982,2.77507351,0.80856370
2.79252680,160.00000000,1.96961551,2.79252680,0.82291130
2.80998010,161.00000000,1.97257120,2.80998010,0.83740889
2.82743339,162.00000000,1.97537668,2.82743339,0.85205671
2.84488668,163.00000000,1.97803173,2.84488668,0.86685495
2.86233997,164.00000000,1.98053614,2.86233997,0.88180384
2.87979327,165.00000000,1.98288972,2.87979327,0.89690354
2.89724656,166.00000000,1.98509230,2.89724656,0.91215426
2.91469985,167.00000000,1.98714371,2.91469985,0.92755614
2.93215314,168.00000000,1.98904379,2.93215314,0.94310935
2.94960644,169.00000000,1.99079240,2.94960644,0.95881404
2.96705973,170.00000000,1.99238940,2.96705973,0.97467033
2.98451302,171.00000000,1.99383467,2.98451302,0.99067835
3.00196631,172.00000000,1.99512810,3.00196631,1.00683821
3.01941961,173.00000000,1.99626960,3.01941961,1.02315001
3.03687290,174.00000000,1.99725907,3.03687290,1.03961383
3.05432619,175.00000000,1.99809644,3.05432619,1.05622975
3.07177948,176.00000000,1.99878165,3.07177948,1.07299783
3.08923278,177.00000000,1.99931465,3.08923278,1.08991813
3.10668607,178.00000000,1.99969539,3.10668607,1.10699068
3.12413936,179.00000000,1.99992385,3.12413936,1.12421551
3.14159265,180.00000000,2.00000000,3.14159265,1.14159265
